,tweet,coordinates,location,language
0,"Canada’s @PaulMGrod, President of @UWCongress, joins Metropolitan @Epifaniy in Istanbul for granting of Tomos on ch… https://t.co/T38ot338U4",,Ukraine,en
1,RT @expatua: Epifaniy: Russian Orthodox Church to continue existing in Ukraine https://t.co/sEeqauaJsM https://t.co/J6SM6t4QPu,,"Kyiv, Ukraine",en
2,RT @Reuters: Ecumenical Patriarch signs decree granting Ukraine church independence https://t.co/XgB794Haee https://t.co/D0yymzZtLD,,Київ,en
3,RT @TarasKuzio: Putin’s defeat as Ukraine receives a Tomos creating Orthodox Church independent of Russia. This is a reversal of imperial h…,,愛知 尾張旭市,tr
4,Ukraine: new Orthodox church gains independence from Moscow https://t.co/mKb2ARPFMj,,"Dublin, Ireland.",en
5,RT @BBCWorld: Ukraine Orthodox Church to be granted independence from Russian Church https://t.co/1qIw8PW7ic,,"Brooklyn, NY",en
6,RT @AP: The Ecumenical Patriarch of Constantinople signs a decree of independence for the Orthodox Church of Ukraine. https://t.co/Eph5FjFk…,,"Buffalo, New York",en
7,Tomos signing ceremony in Constantinople ends with shout of “Glory to Ukraine!” / https://t.co/0XeyE6SpRU https://t.co/OJgEE3TGVE,,"Richmond Hill, Ontario, Canada",en
8,"RT @ProdamMusor: СБУ рекомендует доносить на тех, кто спрашивает про ситуацию в Украине via glavnovosticom https://t.co/6fJOeUcSrF",,"Челябинск, Россия",ru
9,"RT @WaschukCanUA: Canada’s @PaulMGrod, President of @UWCongress, joins Metropolitan @Epifaniy in Istanbul for granting of Tomos on church i…",,"planet Earth. San Francisco, CA, USA.",ru
10,"RT @BungeeWedgie: #Ukraine post office celebrates Waffen SS nazis.
https://t.co/p0HkS2dSZn",,12358 Fibonacci Cir. ,en
11,RT @DECLEX: 2/3rd point had me in tears. 😂 https://t.co/56rOzYHeQo,,"Lokoja, Nigeria",en
12,"RT @AmazingKiev: Just a hotel in Kyiv
#Kiev #Kyiv #Ukraine https://t.co/vIKiPK7IEb",,Украина,ru
13,"RT @MrDtAFC: @BBCMOTD BATE Borisov v Arsenal - Luton to Lithuania, drive to Belarus, get refused entry at the border, taxi to Latvia, fligh…",,Uswazi,en
14,RT @muyiwag: Speaking undiluted truth! I like that line: ‘Am I foolish to that extent?’ https://t.co/wR1Hv47QmZ,,Lagos/Abuja [Nigeria],en
15,RT @ChristopherJM: The irony for the Kremlin is that Ukraine would likely not have been granted an independent Orthodox church without Puti…,,"Bosphorus, Istanbul",en
16,RT @ChristopherJM: Tomos granting autocephaly for a Ukrainian Orthodox Church free of Russia’s signed in Istanbul. Tomorrow it’ll arrive in…,,Київ,en
17,RT @PeterPsquare: 🙈🚬....... ☁️☃️ 🇺🇦Ukraine we are here and we are so cold and freezing!!!😩😤🤧 ezi bote Oyi di😩 https://t.co/Yv7puJTU2i,,Port harcourt - nigeria,en
18,"RT @ChristopherJM: Archbishop Kliment, head of Moscow Patriarchate (UOC-MP) church in Ukraine, is displeased with today's Tomos signing. He…",,"Inverness, Scotland",en
